Price,Close,High,Low,Open,Volume,MA21,MA50
Ticker,^NYA,^NYA,^NYA,^NYA,^NYA,,
Date,,,,,,,
2023-05-18,15345.4296875,15361.740234375,15214.0,15313.919921875,3980500000,15363.581798735118,15245.3947265625
2023-05-19,15324.3203125,15421.7998046875,15283.7001953125,15345.4296875,4041900000,15351.266555059523,15249.06533203125
2023-05-22,15318.849609375,15387.759765625,15271.2197265625,15324.3203125,3728520000,15338.881789434523,15257.55873046875
2023-05-23,15172.26953125,15319.1103515625,15161.4697265625,15318.849609375,4155320000,15318.194149925595,15265.71671875
2023-05-24,15022.8896484375,15172.26953125,15006.2802734375,15172.26953125,3739160000,15301.973167782739,15267.27970703125
2023-05-25,14975.9697265625,15022.8896484375,14898.7001953125,15022.8896484375,4147760000,15289.944103422618,15273.54810546875
2023-05-26,15078.6904296875,15119.16015625,14975.9697265625,14975.9697265625,3715460000,15273.136997767857,15278.5023046875
2023-05-30,14994.6396484375,15087.9697265625,14951.16015625,15078.6904296875,4228510000,15246.887462797618,15286.4141015625
2023-05-31,14887.1396484375,14994.6396484375,14810.5703125,14994.6396484375,5980670000,15215.994605654761,15288.602890625
2023-06-01,15031.08984375,15069.9404296875,14872.2802734375,14887.1396484375,4391860000,15202.48032924107,15289.50568359375
2023-06-02,15345.1904296875,15365.7001953125,15031.08984375,15031.08984375,4454200000,15207.782273065477,15301.587890625
2023-06-05,15275.2099609375,15353.08984375,15258.919921875,15345.1904296875,3813290000,15215.2841796875,15313.23169921875
2023-06-06,15391.7998046875,15403.400390625,15260.7197265625,15275.2099609375,3996560000,15215.804640997023,15325.8962890625
2023-06-07,15469.6298828125,15486.2099609375,15382.5302734375,15391.7998046875,4537800000,15219.536086309523,15337.39189453125
2023-06-08,15502.6396484375,15517.23046875,15416.7001953125,15469.6298828125,3826740000,15226.670851934523,15348.4576953125
2023-06-09,15499.91015625,15557.2998046875,15478.08984375,15502.6396484375,3786510000,15233.848958333334,15355.97669921875
2023-06-12,15548.4697265625,15560.4599609375,15483.0400390625,15499.91015625,3945670000,15247.439406622023,15362.934296875
2023-06-13,15667.7900390625,15701.490234375,15548.4697265625,15548.4697265625,4275400000,15267.507486979166,15368.79189453125
2023-06-14,15642.73046875,15746.1201171875,15573.400390625,15667.7900390625,4252110000,15282.753720238095,15371.89130859375
2023-06-15,15826.349609375,15855.08984375,15633.5595703125,15642.73046875,4176690000,15315.948939732143,15380.93609375
2023-06-16,15795.1201171875,15904.2001953125,15786.4404296875,15826.349609375,6848600000,15338.863234747023,15389.47330078125
2023-06-20,15648.919921875,15795.1201171875,15605.83984375,15795.1201171875,4055790000,15353.315150669643,15394.8691015625
2023-06-21,15657.0,15706.7802734375,15578.2998046875,15648.919921875,3709330000,15369.157040550595,15399.4655078125
2023-06-22,15600.7001953125,15657.0,15564.330078125,15657.0,3511000000,15382.57849702381,15401.06111328125
2023-06-23,15469.349609375,15600.7001953125,15449.75,15600.7001953125,6053620000,15396.725167410714,15400.42951171875
